zona,nome_municipio,bairro,id_municipio
26-0157,ADAMANTINA,CENTRO,3500105
26-0334,AGUAÍ,CENTRO,3500303
26-0007,AGUDOS,CENTRO,3500709
26-0202,ALTINÓPOLIS,CENTRO,3501004
26-0158,AMERICANA,VILA PAVAN,3501608
26-0384,AMERICANA,RESIDENCIAL BOA VISTA,3501608
26-0008,AMPARO,CENTRO,3501905
26-0009,ANDRADINA,STELLA MARIS,3502101
26-0215,ANGATUBA,BELA VISTA,3502200
26-0190,APARECIDA,JARDIM SAO PAULO,3502507
26-0010,APIAÍ,CENTRO,3502705
26-0011,ARAÇATUBA,HIGIENOPOLIS,3502804
26-0299,ARAÇATUBA,HIGIENOPOLIS,3502804
26-0013,ARARAQUARA,CENTRO,3503208
26-0239,ARARAQUARA,CENTRO,3503208
26-0385,ARARAQUARA,JARDIM VIADUTO,3503208
26-0014,ARARAS,JARDIM BELVEDERE,3503307
26-0335,ARUJÁ,ARUJÁ CENTER VILLE,3503901
26-0015,ASSIS,VILA XAVIER,3504008
26-0290,ASSIS,VILA XAVIER,3504008
26-0016,ATIBAIA,CENTRO,3504107
26-0225,AURIFLAMA,CENTRO,3504206
26-0017,AVARÉ,CENTRO,3504503
26-0301,AVARÉ,CENTRO,3504503
26-0018,BANANAL,CENTRO,3504909
26-0019,BARIRI,CENTRO,3505203
26-0200,BARRA BONITA,CENTRO,3505302
26-0021,BARRETOS,CENTRO,3505500
26-0199,BARUERI,JARDIM DOS CAMARGOS,3505708
26-0386,BARUERI,VILA BOA VISTA,3505708
26-0022,BATATAIS,CENTRO,3505906
26-0023,BAURU,VILA SANTA TEREZA,3506003
26-0300,BAURU,JARDIM BELA VISTA,3506003
26-0387,BAURU,VILA NOEMY,3506003
26-0024,BEBEDOURO,CENTRO,3506102
26-0210,BILAC,CENTRO,3506409
26-0025,BIRIGUI,CENTRO,3506508
26-0369,BOITUVA,CENTRO,3507001
26-0026,BOTUCATU,CENTRO,3507506
26-0027,BRAGANÇA PAULISTA,CENTRO,3507605
26-0298,BRAGANÇA PAULISTA,CENTRO,3507605
26-0028,BROTAS,CENTRO,3507902
26-0214,BURITAMA,CENTRO,3508108
26-0029,CAÇAPAVA,CENTRO,3508504
26-0145,CACHOEIRA PAULISTA,CENTRO,3508603
26-0030,CACONDE,CENTRO,3508702
26-0031,CAFELÂNDIA,CENTRO,3508801
26-0354,CAJAMAR,JORDANESIA,3509205
26-0032,CAJURU,CENTRO,3509403
26-0033,CAMPINAS,CENTRO,3509502
26-0274,CAMPINAS,CENTRO,3509502
26-0275,CAMPINAS,CENTRO,3509502
26-0378,CAMPINAS,CENTRO,3509502
26-0379,CAMPINAS,CENTRO,3509502
26-0380,CAMPINAS,CENTRO,3509502
26-0423,CAMPINAS,CENTRO,3509502
26-0344,CAMPO LIMPO PAULISTA,VILA TAVARES,3509601
26-0035,CAMPOS DO JORDAO,CENTRO,3509700
26-0036,CANANÉIA,CENTRO,3509908
26-0226,CÂNDIDO MOTA,CENTRO,3510005
26-0037,CAPAO BONITO,VILA NOVA CAPAO BONITO,3510203
26-0038,CAPIVARI,CENTRO,3510401
26-0206,CARAGUATATUBA,SUMARE,3510500
26-0303,CARAPICUÍBA,CENTRO,3510609
26-0388,CARAPICUÍBA,CENTRO,3510609
26-0224,CARDOSO,JARDIM GOUVEIA,3510708
26-0039,CASA BRANCA,CENTRO,3510807
26-0040,CATANDUVA,CENTRO,3511102
26-0179,CATANDUVA,CENTRO,3511102
26-0205,CERQUEIRA CÉSAR,CENTRO,3511409
26-0355,CERQUILHO,CENTRO,3511508
26-0178,COLINA,CENTRO,3512001
26-0041,CONCHAS,CENTRO,3512308
26-0243,CORDEIRÓPOLIS,CENTRO,3512407
26-0360,COSMÓPOLIS,CENTRO,3512803
26-0227,COTIA,BAIRRO DO PORTAO,3513009
26-0286,COTIA,GRANJA CAROLINA,3513009
26-0193,CRAVINHOS,CENTRO,3513108
26-0042,CRUZEIRO,CENTRO,3513405
26-0119,CUBATAO,CENTRO,3513504
26-0043,CUNHA,ALTO DO CRUZEIRO,3513603
26-0044,DESCALVADO,CENTRO,3513702
26-0222,DIADEMA,CENTRO,3513801
26-0329,DIADEMA,CENTRO,3513801
26-0426,DIADEMA,CENTRO,3513801
26-0045,DOIS CÓRREGOS,CENTRO,3514106
26-0149,DRACENA,CENTRO,3514403
26-0159,DUARTINA,CENTRO,3514502
26-0148,ELDORADO,CENTRO,3514809
26-0341,EMBU DAS ARTES,CENTRO,3515004
26-0391,EMBU DAS ARTES,JARDIM VAZAME,3515004
26-0370,EMBU-GUAÇU,CENTRO,3515103
26-0091,ESPÍRITO SANTO DO PINHAL,CENTRO,3515186
26-0233,ESTRELA D'OESTE,CENTRO,3515202
26-0234,FARTURA,CENTRO,3515400
26-0150,FERNANDÓPOLIS,JARDIM AMERICA,3515509
26-0302,FERNANDÓPOLIS,COESTER,3515509
26-0401,FERRAZ DE VASCONCELOS,CENTRO,3515707
26-0046,FRANCA,SAO JOSÉ,3516200
26-0240,FRANCA,SAO JOSÉ,3516200
26-0291,FRANCA,ESTAÇAO,3516200
26-0367,FRANCISCO MORATO,CENTRO,3516309
26-0192,FRANCO DA ROCHA,CENTRO,3516408
26-0047,GARÇA,WILLIAMS,3516705
26-0168,GENERAL SALGADO,CENTRO,3516903
26-0160,GETULINA,CENTRO,3517000
26-0169,GUAÍRA,CENTRO,3517406
26-0338,GUARÁ,CENTRO,3517703
26-0151,GUARARAPES,CENTRO,3518206
26-0048,GUARATINGUETÁ,CENTRO,3518404
26-0316,GUARATINGUETÁ,CENTRO,3518404
26-0197,GUARIBA,CENTRO,3518602
26-0212,GUARUJÁ,VILA MAIA,3518701
26-0310,GUARUJÁ,SITIO PAECARA,3518701
26-0176,GUARULHOS,CENTRO,3518800
26-0185,GUARULHOS,MACEDO,3518800
26-0278,GUARULHOS,CENTRO,3518800
26-0279,GUARULHOS,CENTRO,3518800
26-0393,GUARULHOS,VILA GALVAO,3518800
26-0394,GUARULHOS,CIDADE JARDIM CUMBICA,3518800
26-0395,GUARULHOS,CIDADE JARDIM CUMBICA,3518800
26-0361,HORTOLÂNDIA,JARDIM DO BOSQUE,3519071
26-0049,IBITINGA,CENTRO,3519600
26-0191,IBIÚNA,CENTRO,3519709
26-0050,IGARAPAVA,CENTRO,3520103
26-0051,IGUAPE,CENTRO,3520301
26-0368,ILHA SOLTEIRA,ZONA NORTE,3520442
26-0211,INDAIATUBA,CENTRO,3520509
26-0189,ITANHAÉM,CENTRO,3522109
26-0201,ITAPECERICA DA SERRA,JARDIM SANTA ISABEL,3522208
26-0052,ITAPETININGA,CENTRO,3522307
26-0053,ITAPEVA,VILA OPHELIA,3522406
26-0359,ITAPEVI,JARDIM NOVA ITAPEVI,3522505
26-0054,ITAPIRA,CENTRO,3522604
26-0055,ITÁPOLIS,CENTRO,3522703
26-0056,ITAPORANGA,CENTRO,3522802
26-0377,ITAQUAQUECETUBA,VILA VIRGINIA,3523107
26-0419,ITAQUAQUECETUBA,VILA VIRGINIA,3523107
26-0057,ITARARÉ,CENTRO,3523206
26-0058,ITATIBA,CENTRO,3523404
26-0059,ITU,BAIRRO BRASIL,3523909
26-0060,ITUVERAVA,CIDADE UNIVERSITARIA,3524105
26-0061,JABOTICABAL,CENTRO,3524303
26-0062,JACAREÍ,CENTRO,3524402
26-0396,JACAREÍ,CENTRO,3524402
26-0228,JACUPIRANGA,BAIRRO VILA ELIAS,3524600
26-0152,JALES,CENTRO,3524808
26-0304,JANDIRA,CENTRO,3525003
26-0204,JARDINÓPOLIS,CENTRO,3525102
26-0063,JAÚ,CENTRO,3525300
26-0241,JAÚ,CENTRO,3525300
26-0064,JOSÉ BONIFÁCIO,CENTRO,3525706
26-0065,JUNDIAÍ,CENTRO,3525904
26-0281,JUNDIAÍ,CENTRO,3525904
26-0424,JUNDIAÍ,CENTRO,3525904
26-0196,JUNQUEIRÓPOLIS,CENTRO,3526001
26-0223,JUQUIÁ,CENTRO,3526100
26-0209,LARANJAL PAULISTA,CENTRO,3526407
26-0188,LEME,CENTRO,3526704
26-0161,LENÇÓIS PAULISTA,CENTRO,3526803
26-0066,LIMEIRA,CENTRO,3526902
26-0399,LIMEIRA,CENTRO,3526902
26-0067,LINS,CENTRO,3527108
26-0297,LINS,CENTRO,3527108
26-0068,LORENA,CENTRO,3527207
26-0069,LUCÉLIA,CENTRO,3527405
26-0237,MAIRIPORA,CENTRO,3528502
26-0363,MARACAÍ,CENTRO,3528809
26-0070,MARÍLIA,MARÍLIA,3529005
26-0180,MARÍLIA,CENTRO,3529005
26-0400,MARÍLIA,CENTRO,3529005
26-0071,MARTINÓPOLIS,CENTRO,3529203
26-0170,MATAO,CENTRO,3529302
26-0217,MAUÁ,CENTRO,3529401
26-0339,MAUÁ,CENTRO,3529401
26-0364,MAUÁ,CENTRO,3529401
26-0365,MAUÁ,CENTRO,3529401
26-0208,MIGUELÓPOLIS,CENTRO,3529708
26-0218,MIRACATU,CENTRO,3529906
26-0153,MIRANDÓPOLIS,CENTRO,3530102
26-0238,MIRANTE DO PARANAPANEMA,CENTRO,3530201
26-0072,MIRASSOL,CENTRO,3530300
26-0073,MOCOCA,VILA MARIANA,3530508
26-0074,MOGI DAS CRUZES,CENTRO,3530607
26-0287,MOGI DAS CRUZES,CENTRO,3530607
26-0319,MOGI DAS CRUZES,CENTRO,3530607
26-0216,MOGI GUAÇU,JARDIM CENTENARIO,3530706
26-0075,MOGI MIRIM,CENTRO,3530805
26-0076,MONTE ALTO,CENTRO,3531308
26-0077,MONTE APRAZÍVEL,CENTRO,3531407
26-0171,MONTE AZUL PAULISTA,CENTRO,3531506
26-0358,MONTE MOR,CENTRO,3531803
26-0336,MORRO AGUDO,CENTRO,3531902
26-0162,NHANDEARA,CENTRO,3532603
26-0078,NOVA GRANADA,CENTRO,3533007
26-0292,NOVA ODESSA,BOSQUE DOS CEDROS,3533403
26-0079,NOVO HORIZONTE,CENTRO,3533502
26-0235,NUPORANGA,CENTRO,3533601
26-0080,OLÍMPIA,CENTRO,3533908
26-0081,ORLÂNDIA,CENTRO,3534302
26-0213,OSASCO,CENTRO,3534401
26-0276,OSASCO,JARDIM ROCHDALLE,3534401
26-0277,OSASCO,KM 18,3534401
26-0285,OSASCO,JARDIM BELA VISTA,3534401
26-0315,OSASCO,JARDIM SANTO ANTONIO,3534401
26-0331,OSASCO,JARDIM PIRATININGA,3534401
26-0332,OSASCO,VILA CAMPESINA,3534401
26-0163,OSVALDO CRUZ,JARDIM DAS BANDEIRAS,3534609
26-0082,OURINHOS,JARDIM PAULISTA,3534708
26-0313,OURINHOS,JARDIM MATILDE,3534708
26-0154,PACAEMBU,ESPLANADA,3534906
26-0231,PALESTINA,CENTRO,3535002
26-0232,PALMEIRA D'OESTE,CENTRO,3535200
26-0083,PALMITAL,CENTRO,3535309
26-0012,PARAGUAÇU PAULISTA,CENTRO,3535507
26-0084,PARAIBUNA,CENTRO,3535606
26-0085,PATROCÍNIO PAULISTA,CENTRO,3536307
26-0323,PAULÍNIA,NOVA PAULÍNIA,3536505
26-0164,PAULO DE FARIA,CENTRO,3536604
26-0086,PEDERNEIRAS,PARQUE INDUSTRIAL FUAD RAZUK,3536703
26-0155,PEDREGULHO,CENTRO,3537008
26-0333,PEDREIRA,VILA MONTE ALEGRE,3537107
26-0087,PENÁPOLIS,CENTRO,3537305
26-0289,PENÁPOLIS,CENTRO,3537305
26-0088,PEREIRA BARRETO,CENTRO,3537404
26-0295,PERUÍBE,CENTRO,3537602
26-0089,PIEDADE,CENTRO,3537800
26-0090,PINDAMONHANGABA,JARDIM BOA VISTA,3538006
26-0337,PIQUETE,PARQUE SAO MIGUEL,3538501
26-0092,PIRACAIA,CENTRO,3538600
26-0093,PIRACICABA,CENTRO,3538709
26-0244,PIRACICABA,CENTRO,3538709
26-0270,PIRACICABA,CENTRO,3538709
26-0094,PIRAJU,CENTRO,3538808
26-0095,PIRAJUÍ,CENTRO,3538907
26-0261,PIRAPOZINHO,JARDIM DAS FLORES,3539202
26-0096,PIRASSUNUNGA,CENTRO,3539301
26-0311,PIRASSUNUNGA,CENTRO,3539301
26-0097,PIRATININGA,CENTRO,3539400
26-0098,PITANGUEIRAS,CENTRO,3539509
26-0219,POÁ,CENTRO,3539806
26-0099,POMPÉIA,CENTRO,3540002
26-0100,PORTO FELIZ,CENTRO,3540606
26-0194,PORTO FERREIRA,CENTRO,3540705
26-0317,PRAIA GRANDE,JARDIM GUILHERMINA,3541000
26-0406,PRAIA GRANDE,CIDADE OCIAN,3541000
26-0165,PRESIDENTE BERNARDES,CENTRO,3541208
26-0195,PRESIDENTE EPITÁCIO,CENTRO,3541307
26-0101,PRESIDENTE PRUDENTE,VILA JESUS,3541406
26-0182,PRESIDENTE PRUDENTE,VILA DUBUS,3541406
26-0402,PRESIDENTE PRUDENTE,JD. BONGIOVANI,3541406
26-0102,PRESIDENTE VENCESLAU,CENTRO,3541505
26-0103,PROMISSAO,CENTRO,3541604
26-0104,QUATÁ,CENTRO,3541703
26-0105,QUELUZ,CENTRO,3541901
26-0106,RANCHARIA,CENTRO,3542206
26-0167,REGENTE FEIJÓ,CENTRO,3542404
26-0172,REGISTRO,VILA TUPI,3542602
26-0107,RIBEIRAO BONITO,CENTRO,3542909
26-0183,RIBEIRAO PIRES,CENTRO,3543303
26-0382,RIBEIRAO PIRES,NUCLEO COLONIAL,3543303
26-0108,RIBEIRAO PRETO,CENTRO,3543402
26-0265,RIBEIRAO PRETO,CENTRO,3543402
26-0266,RIBEIRAO PRETO,CENTRO,3543402
26-0293,RIBEIRAO PRETO,CENTRO,3543402
26-0305,RIBEIRAO PRETO,CENTRO,3543402
26-0322,RIBEIRAO PRETO,CENTRO,3543402
26-0110,RIO CLARO,CENTRO,3543907
26-0245,RIO CLARO,CONSOLACAO,3543907
26-0288,RIO CLARO,CENTRO,3543907
26-0221,SALTO,CENTRO,3545209
26-0111,SANTA ADÉLIA,CENTRO,3545605
26-0186,SANTA BÁRBARA D'OESTE,JARDIM PAULISTA,3545803
26-0112,SANTA BRANCA,CENTRO,3546009
26-0113,SANTA CRUZ DAS PALMEIRAS,CENTRO,3546306
26-0114,SANTA CRUZ DO RIO PARDO,CENTRO,3546405
26-0187,SANTA FÉ DO SUL,CENTRO,3546603
26-0115,SANTA ISABEL,CENTRO,3546801
26-0116,SANTA RITA DO PASSA QUATRO,JARDIM AMERICA,3547502
26-0173,SANTA ROSA DE VITERBO,CENTRO,3547601
26-0117,SANTO ANASTÁCIO,CENTRO,3547700
26-0156,SANTO ANDRÉ,VILA BASTOS,3547809
26-0262,SANTO ANDRÉ,VILA ASSUNCAO,3547809
26-0263,SANTO ANDRÉ,PARQUE JACATUBA,3547809
26-0264,SANTO ANDRÉ,SANTA TEREZINHA,3547809
26-0306,SANTO ANDRÉ,VILA ALPINA,3547809
26-0307,SANTO ANDRÉ,VILA ALZIRA,3547809
26-0308,SANTO ANDRÉ,VILA SAO PEDRO,3547809
26-0309,SANTO ANDRÉ,PARQUE DAS NAÇAES,3547809
26-0321,SANTO ANDRÉ,VILA BASTOS,3547809
26-0383,SANTO ANDRÉ,VILA HOMERO THON,3547809
26-0118,SANTOS,CENTRO,3548500
26-0272,SANTOS,PONTA DA PRAIA,3548500
26-0273,SANTOS,VILA BELMIRO,3548500
26-0120,SAO BENTO DO SAPUCAÍ,CENTRO,3548609
26-0174,SAO BERNARDO DO CAMPO,CIDADE JARDIM NOVA PETRÓPOLIS,3548708
26-0283,SAO BERNARDO DO CAMPO,JARDIM DO MAR,3548708
26-0284,SAO BERNARDO DO CAMPO,VILA HELENA,3548708
26-0296,SAO BERNARDO DO CAMPO,CENTRO,3548708
26-0409,SAO BERNARDO DO CAMPO,JARDIM OLAVO BILAC,3548708
26-0414,SAO BERNARDO DO CAMPO,CENTRO,3548708
26-0166,SAO CAETANO DO SUL,CENTRO,3548807
26-0269,SAO CAETANO DO SUL,CENTRO,3548807
26-0121,SAO CARLOS,CENTRO,3548906
26-0410,SAO CARLOS,CENTRO,3548906
26-0122,SAO JOAO DA BOA VISTA,PARQUE DAS NAÇAES,3549102
26-0123,SAO JOAQUIM DA BARRA,CENTRO,3549409
26-0124,SAO JOSÉ DO RIO PARDO,CENTRO,3549706
26-0125,SAO JOSÉ DO RIO PRETO,BOA VISTA,3549805
26-0126,SAO JOSÉ DO RIO PRETO,JARDIM REDENTOR,3549805
26-0267,SAO JOSÉ DO RIO PRETO,BOA VISTA,3549805
26-0268,SAO JOSÉ DO RIO PRETO,BOA VISTA,3549805
26-0312,SAO JOSÉ DO RIO PRETO,BOA VISTA,3549805
26-0127,SAO JOSÉ DOS CAMPOS,CENTRO,3549904
26-0282,SAO JOSÉ DOS CAMPOS,VILA ADY ANA,3549904
26-0411,SAO JOSÉ DOS CAMPOS,VILA ADY ANA,3549904
26-0412,SAO JOSÉ DOS CAMPOS,JARDIM SAO DIMAS,3549904
26-0128,SAO LUÍS DO PARAITINGA,VARZEA DOS PASSARINHOS,3550001
26-0129,SAO MANUEL,VILA IPIRANGA,3550100
26-0318,SAO MIGUEL ARCANJO,CENTRO,3550209
26-0001,SAO PAULO,BELA VISTA,3550308
26-0002,SAO PAULO,AGUA BRANCA,3550308
26-0003,SAO PAULO,BOM RETIRO,3550308
26-0004,SAO PAULO,MOOCA,3550308
26-0005,SAO PAULO,ITAIM BIBI,3550308
26-0006,SAO PAULO,VILA CLEMENTINO,3550308
26-0020,SAO PAULO,CAPAO REDONDO,3550308
26-0246,SAO PAULO,SANTO AMARO,3550308
26-0247,SAO PAULO,SAO MIGUEL PAULISTA,3550308
26-0248,SAO PAULO,ITAQUERA,3550308
26-0249,SAO PAULO,SANTANA,3550308
26-0250,SAO PAULO,LAPA,3550308
26-0251,SAO PAULO,PINHEIROS,3550308
26-0252,SAO PAULO,VILA ESPERANCA,3550308
26-0253,SAO PAULO,VILA AZEVEDO,3550308
26-0254,SAO PAULO,VILA MARIA,3550308
26-0255,SAO PAULO,CASA VERDE,3550308
26-0256,SAO PAULO,TREMEMBE,3550308
26-0257,SAO PAULO,VILA PRUDENTE,3550308
26-0258,SAO PAULO,INDIANOPOLIS,3550308
26-0259,SAO PAULO,SAÚDE,3550308
26-0260,SAO PAULO,IPIRANGA,3550308
26-0280,SAO PAULO,CAPELA DO SOCORRO,3550308
26-0320,SAO PAULO,JABAQUARA,3550308
26-0325,SAO PAULO,PIRITUBA,3550308
26-0326,SAO PAULO,PARQUE BOTURUSSU,3550308
26-0327,SAO PAULO,FREGUESIA DO O,3550308
26-0328,SAO PAULO,VILA PIRAJUSSARA,3550308
26-0346,SAO PAULO,VILA SONIA,3550308
26-0347,SAO PAULO,VILA NOVA SAVOIA,3550308
26-0348,SAO PAULO,VILA FORMOSA,3550308
26-0349,SAO PAULO,JACANA,3550308
26-0350,SAO PAULO,SAPOPEMBA,3550308
26-0351,SAO PAULO,JD PRUDENCIA,3550308
26-0352,SAO PAULO,ITAIM PAULISTA,3550308
26-0353,SAO PAULO,GUAIANAZES,3550308
26-0371,SAO PAULO,CIDADE DUTRA,3550308
26-0372,SAO PAULO,JARDIM ANGELA (ZONA SUL),3550308
26-0373,SAO PAULO,JARDIM ATLANTICO,3550308
26-0374,SAO PAULO,VILA INDIANA,3550308
26-0375,SAO PAULO,SAO MATEUS,3550308
26-0376,SAO PAULO,FREGUESIA DO O,3550308
26-0381,SAO PAULO,PARELHEIROS,3550308
26-0389,SAO PAULO,JARDIM ADELFIORE,3550308
26-0390,SAO PAULO,CANGAÍBA,3550308
26-0392,SAO PAULO,PONTE RASA,3550308
26-0397,SAO PAULO,VILA CURUÇÁ,3550308
26-0398,SAO PAULO,VILA PEDROSO,3550308
26-0403,SAO PAULO,JARAGUA,3550308
26-0404,SAO PAULO,GUAIANAZES,3550308
26-0405,SAO PAULO,JARDIM HELENA,3550308
26-0408,SAO PAULO,VILA MARACANA,3550308
26-0413,SAO PAULO,VILA MORAES,3550308
26-0417,SAO PAULO,CIDADE LIDER,3550308
26-0418,SAO PAULO,PEDREIRA,3550308
26-0420,SAO PAULO,VILA SABRINA,3550308
26-0421,SAO PAULO,CONJUNTO HABITACIONAL TEOTONIO VILELA,3550308
26-0422,SAO PAULO,MANDAQUI,3550308
26-0130,SAO PEDRO,SAO BENEDITO,3550407
26-0131,SAO ROQUE,CENTRO,3550605
26-0132,SAO SEBASTIAO,CENTRO,3550704
26-0366,SAO SEBASTIAO DA GRAMA,CENTRO,3550803
26-0133,SAO SIMAO,CENTRO,3550902
26-0177,SAO VICENTE,GONZAGUINHA,3551009
26-0340,SAO VICENTE,CENTRO,3551009
26-0109,SERRANA,JARDIM BOA VISTA,3551504
26-0134,SERRA NEGRA,CENTRO,3551603
26-0135,SERTAOZINHO,CENTRO,3551702
26-0136,SOCORRO,CENTRO,3552106
26-0137,SOROCABA,MANGAL,3552205
26-0271,SOROCABA,JARDIM PAULISTANO,3552205
26-0294,SOROCABA,VILA LUCY,3552205
26-0342,SOROCABA,JARDIM PAULISTANO,3552205
26-0343,SOROCABA,JARDIM PAULISTANO,3552205
26-0356,SOROCABA,JARDIM PAULISTANO,3552205
26-0357,SOROCABA,JARDIM PAULISTANO,3552205
26-0230,SUMARÉ,CENTRO,3552403
26-0362,SUMARÉ,JARDIM NOVA VENEZA,3552403
26-0181,SUZANO,CENTRO,3552502
26-0415,SUZANO,CENTRO,3552502
26-0324,TABOAO DA SERRA,JARDIM BOM TEMPO,3552809
26-0416,TABOAO DA SERRA,PARQUE PINHEIROS,3552809
26-0198,TAMBAÚ,CENTRO,3553302
26-0138,TANABI,CENTRO,3553401
26-0139,TAQUARITINGA,CENTRO,3553708
26-0236,TAQUARITUBA,CENTRO,3553807
26-0140,TATUÍ,CENTRO,3554003
26-0141,TAUBATÉ,CENTRO,3554102
26-0407,TAUBATÉ,JARDIM DAS NACOES,3554102
26-0330,TEODORO SAMPAIO,VILA FURLAN,3554300
26-0142,TIETÊ,CENTRO,3554508
26-0314,TREMEMBÉ,RESIDENCIAL ANA CÂNDIDA,3554805
26-0143,TUPA,CENTRO,3555000
26-0184,TUPA,CENTRO,3555000
26-0175,TUPI PAULISTA,CENTRO,3555109
26-0144,UBATUBA,CENTRO,3555406
26-0207,URUPÊS,CENTRO,3556008
26-0034,VALINHOS,CENTRO,3556206
26-0146,VALPARAÍSO,CENTRO,3556305
26-0229,VARGEM GRANDE DO SUL,CENTRO,3556404
26-0242,VÁRZEA PAULISTA,VILA SANTA TEREZINHA,3556503
26-0345,VINHEDO,JD BRASIL,3556701
26-0203,VIRADOURO,CENTRO,3556800
26-0220,VOTORANTIM,PARQUE BELA VISTA,3557006
26-0147,VOTUPORANGA,CENTRO,3557105
